COUNTRY_OF_ASYLUM,RETURN_DATE,ORIG_PROV_NAME,ORIG_DIST_NAME,DESTINATION_PROV_NAME,DESTINATION_DIST_NAME,INDIVIDUALS,MALE,FEMALE
#country,#date+occurred,#admin1+name+x_origin,#admin2+name+x_origin,#admin1+name+x_destination,#admin2+name+x_destination,#affected+displaced+all,#affected+displaced+m,#affected+displaced+f
Iran,"Sunday, January 3, 2021",Herat,Ghoryan,Herat,Ghoryan,1,0,1
Iran,"Tuesday, January 5, 2021",Bamyan,Waras,Bamyan,Waras,1,1,0
Iran,"Tuesday, January 5, 2021",Ghazni,Jaghatu,Herat,Herat,1,1,0
Iran,"Tuesday, January 5, 2021",Ghazni,Nawur,Herat,Herat,3,2,1
Iran,"Tuesday, January 5, 2021",Herat,Gulran,Herat,Herat,1,1,0
Iran,"Tuesday, January 5, 2021",Herat,Guzara,Herat,Herat,1,1,0
Iran,"Tuesday, January 5, 2021",Herat,Herat,Herat,Herat,3,1,2
Iran,"Tuesday, January 5, 2021",Herat,Injil,Herat,Herat,1,1,0
Iran,"Tuesday, January 5, 2021",Kapisa,Tagab,Kabul,Kabul,1,1,0
Iran,"Tuesday, January 5, 2021",Kunduz,Chardarah,Kunduz,Chardarah,1,1,0
Iran,"Wednesday, January 6, 2021",Ghazni,Jaghatu,Herat,Herat,1,1,0
Iran,"Wednesday, January 6, 2021",Ghor,Lal Wa Sarjangal,Kabul,Kabul,1,0,1
Iran,"Wednesday, January 6, 2021",Wardak,Daymirdad,Herat,Herat,1,1,0
Iran,"Thursday, January 7, 2021",Balkh,Mazar-e-Sharif,Balkh,Mazar-e-Sharif,1,1,0
Iran,"Thursday, January 7, 2021",Daykundi,Nili,Daykundi,Nili,1,0,1
Iran,"Thursday, January 7, 2021",Ghor,Lal Wa Sarjangal,Daykundi,Nili,2,1,1
Iran,"Thursday, January 7, 2021",Jawzjan,Shiberghan,Balkh,Mazar-e-Sharif,1,0,1
Iran,"Thursday, January 7, 2021",Uruzgan,Khasuruzgan,Herat,Herat,1,0,1
Iran,"Thursday, January 7, 2021",Wardak,Markaz-e-Behsud,Herat,Herat,1,0,1
Iran,"Thursday, January 7, 2021",Wardak,Markaz-e-Behsud,Kabul,Kabul,1,1,0
Iran,"Friday, January 8, 2021",Daykundi,Ashtarlay,Herat,Herat,1,1,0
Iran,"Friday, January 8, 2021",Sar-e-Pul,Balkhab,Herat,Herat,1,1,0
Iran,"Sunday, January 10, 2021",Daykundi,Khadir,Daykundi,Khadir,1,0,1
Iran,"Sunday, January 10, 2021",Ghor,Pasaband,Ghor,Pasaband,1,0,1
Iran,"Monday, January 11, 2021",Herat,Herat,Herat,Herat,2,2,0
Iran,"Monday, January 11, 2021",Kabul,Kabul,Herat,Herat,1,1,0
Iran,"Monday, January 11, 2021",Kabul,Kabul,Kabul,Kabul,2,1,1
Iran,"Tuesday, January 12, 2021",Bamyan,Panjab,Herat,Herat,1,0,1
Iran,"Tuesday, January 12, 2021",Ghazni,Malestan,Herat,Herat,2,2,0
Iran,"Tuesday, January 12, 2021",Herat,Ghoryan,Herat,Ghoryan,2,1,1
Iran,"Tuesday, January 12, 2021",Herat,Herat,Herat,Herat,1,0,1
Iran,"Tuesday, January 12, 2021",Kunduz,Kunduz,Balkh,Mazar-e-Sharif,1,1,0
Iran,"Tuesday, January 12, 2021",Sar-e-Pul,Sar-e-Pul,Sar-e-Pul,Sar-e-Pul,1,1,0
Pakistan,"Tuesday, January 12, 2021",Kunduz,Dasht-e-Archi,Kunduz,Dasht-e-Archi,3,2,1
Iran,"Wednesday, January 13, 2021",Balkh,Mazar-e-Sharif,Balkh,Mazar-e-Sharif,1,0,1
Iran,"Wednesday, January 13, 2021",Balkh,Mazar-e-Sharif,Herat,Herat,1,1,0
Iran,"Wednesday, January 13, 2021",Bamyan,Panjab,Bamyan,Panjab,1,0,1
Iran,"Wednesday, January 13, 2021",Bamyan,Panjab,Herat,Herat,1,1,0
Iran,"Wednesday, January 13, 2021",Bamyan,Waras,Herat,Herat,1,0,1
Iran,"Wednesday, January 13, 2021",Daykundi,Khadir,Daykundi,Khadir,1,0,1
Iran,"Wednesday, January 13, 2021",Daykundi,Khadir,Herat,Herat,2,1,1
Iran,"Wednesday, January 13, 2021",Daykundi,Nili,Kabul,Kabul,2,1,1
Iran,"Wednesday, January 13, 2021",Daykundi,Sang-e-Takht,Herat,Herat,1,0,1
Iran,"Wednesday, January 13, 2021",Ghazni,Jaghuri,Herat,Herat,2,1,1
Iran,"Wednesday, January 13, 2021",Ghor,Lal Wa Sarjangal,Ghor,Lal Wa Sarjangal,1,0,1
Iran,"Wednesday, January 13, 2021",Herat,Ghoryan,Herat,Herat,1,1,0
Iran,"Wednesday, January 13, 2021",Wardak,Markaz-e-Behsud,Herat,Herat,1,1,0
Pakistan,"Wednesday, January 13, 2021",Kunduz,Khanabad,Kunduz,Khanabad,3,2,1
Iran,"Thursday, January 14, 2021",Baghlan,Pul-e- khumri,Baghlan,Pul-e- khumri,1,1,0
Iran,"Thursday, January 14, 2021",Bamyan,Waras,Herat,Herat,1,1,0
Iran,"Thursday, January 14, 2021",Herat,Herat,Herat,Herat,1,0,1
Iran,"Thursday, January 14, 2021",Jawzjan,Shiberghan,Jawzjan,Shiberghan,2,1,1
Iran,"Friday, January 15, 2021",Balkh,Mazar-e-Sharif,Balkh,Mazar-e-Sharif,1,0,1
Iran,"Friday, January 15, 2021",Bamyan,Waras,Herat,Herat,2,0,2
Iran,"Tuesday, January 19, 2021",Bamyan,Waras,Bamyan,Waras,1,1,0
Iran,"Tuesday, January 19, 2021",Ghor,Lal Wa Sarjangal,Herat,Herat,1,1,0
Iran,"Tuesday, January 19, 2021",Parwan,Surkh-e- Parsa,Herat,Herat,1,1,0
Iran,"Tuesday, January 19, 2021",Wardak,Markaz-e-Behsud,Herat,Herat,1,0,1
Iran,"Wednesday, January 20, 2021",Baghlan,Khenjan,Kabul,Kabul,1,0,1
Iran,"Wednesday, January 20, 2021",Balkh,Mazar-e-Sharif,Balkh,Mazar-e-Sharif,1,0,1
Iran,"Wednesday, January 20, 2021",Daykundi,Shahrestan,Herat,Herat,1,0,1
