Region,State,Total population,Total Doses Administered (Astra),Total Doses Administered (Moderna),Total Doses Administered
South East,Abia,"3,727,347","61,152",25172,"86,324"
North East,Adamawa,"4,248,436","70,521",36302,"106,823"
South South,Akwa Ibom,"5,482,177","67,760",27174,"94,934"
South East,Anambra,"5,527,809","62,171",13874,"76,045"
North East,Bauchi,"6,537,314","98,409",43162,"141,571"
South South,Bayelsa,"2,277,961","31,800",9296,"41,096"
North Central,Benue,"5,741,815","107,094",60256,"167,350"
North East,Borno,"5,860,183","64,623",31878,"96,501"
South South,Cross River,"3,866,269","99,813",51562,"151,375"
South South,Delta,"5,663,362","88,631",24234,"112,865"
South East,Ebonyi,"2,880,383","46,696",18564,"65,260"
South South,Edo,"4,235,595","76,360",59780,"136,140"
South West,Ekiti,"3,270,798","108,118",47418,"155,536"
South East,Enugu,"4,411,119","69,626",9604,"79,230"
North Central,FCT,"3,564,126","254,088",34846,"288,934"
North East,Gombe,"3,256,962","92,502",17402,"109,904"
South East,Imo,"5,408,756","63,326",15582,"78,908"
North West,Jigawa,"5,828,163","80,145",44254,"124,399"
North West,Kaduna,"8,252,366","180,598",43512,"224,110"
North West,Kano,"15,076,892","184,448",67760,"252,208"
North West,Katsina,"7,831,319","110,522",45906,"156,428"
North West,Kebbi,"4,440,050","62,558",30590,"93,148"
North Central,Kogi,"4,473,490","45,537",16044,"61,581"
North Central,Kwara,"3,192,893","115,042",44954,"159,996"
South West,Lagos,"12,000,598","669,996",236222,"906,218"
North Central,Nassarawa,"2,523,395","81,416",40096,"121,512"
North Central,Niger,"5,556,247","95,799",46114,"141,913"
South West,Ogun,"5,217,716","191,969",81816,"273,785"
South West,Ondo,"4,671,695","100,249",74060,"174,309"
South West,Osun,"4,705,589","100,684",52934,"153,618"
South West,Oyo,"7,840,864","169,523",74970,"244,493"
North Central,Plateau,"4,200,442","103,275",27986,"131,261"
South South,Rivers,"7,303,924","121,889",46158,"168,047"
North West,Sokoto,"4,998,090","52,648",18004,"70,652"
North East,Taraba,"3,066,834","60,613",27034,"87,647"
North East,Yobe,"3,294,137","49,079",22778,"71,857"
North West,Zamfara,"4,515,427","68,517",32494,"101,011"
